Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['FullObsDQN_FullObsDQN', 'RANDOM_Rand0', 'RANDOM_Rand1', 'RANDOM_Rand2']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'FullObsDQN_FullObsDQN': '', 'RANDOM_Rand0': '', 'RANDOM_Rand1': '', 'RANDOM_Rand2': ''}",,"{'FullObsDQN_FullObsDQN': -1, 'RANDOM_Rand0': -1, 'RANDOM_Rand1': -1, 'RANDOM_Rand2': -1}",
1,0,,SYSTEM,DEAL_CARDS,,,"[[2, 5, 6, 7, 7, 0, 8, 8, 9, 9, 9, 10, 10, 10, 10, 11, 11], [1, 2, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 10, 10, 0, 11, 0], [0, 0, 3, 4, 5, 5, 8, 8, 9, 9, 10, 11, 11, 11, 11, 11, 11], [4, 4, 4, 5, 5, 6, 7, 7, 7, 0, 0, 0, 10, 10, 10, 11, 12]]",,,,,,,
1,1,,RANDOM_Rand0,DISCARD,C11;Q1;J1,0.0,"[0, 0, 1, 2, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 10, 10, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.str_('C11;Q1;J0'), np.str_('C11;Q1;J1'), np.str_('C11;Q2;J0'), np.str_('C11;Q2;J1'), np.str_('pass')]",,,,
1,1,,RANDOM_Rand1,DISCARD,C3;Q2;J0,0.0,"[0, 0, 3, 4, 5, 5, 8, 8, 9, 9, 10, 11, 11, 11, 11, 11, 11]","[11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.str_('C3;Q2;J0'), np.str_('C3;Q3;J0'), np.str_('C5;Q2;J0'), np.str_('C8;Q2;J0'), np.str_('C9;Q2;J0'), np.str_('pass')]",,,,
1,1,,RANDOM_Rand2,DISCARD,pass,0.0,"[4, 4, 4, 5, 5, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 11, 12]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[np.str_('pass')],,,,
1,1,,FullObsDQN_FullObsDQN,DISCARD,pass,0.0,"[2, 5, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 10, 11, 11]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[np.str_('pass')],,,,
1,1,,RANDOM_Rand0,DISCARD,pass,0.0,"[0, 0, 1, 2, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 10, 10, 11]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[np.str_('pass')],,,,
1,1,,RANDOM_Rand1,DECLARE_PIZZA,,,,,,,,,,
1,2,,RANDOM_Rand1,DISCARD,C11;Q1;J0,0.0,"[0, 0, 0, 3, 4, 5, 5, 8, 8, 9, 9, 10, 11, 11, 11, 11, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.str_('C3;Q1;J0'), np.str_('C4;Q1;J0'), np.str_('C5;Q1;J0'), np.str_('C5;Q2;J0'), np.str_('C8;Q1;J0'), np.str_('C8;Q2;J0'), np.str_('C9;Q1;J0'), np.str_('C9;Q2;J0'), np.str_('C10;Q1;J0'), np.str_('C11;Q1;J0'), np.str_('C11;Q2;J0'), np.str_('C11;Q3;J0'), np.str_('C11;Q4;J0'), np.str_('C11;Q5;J0'), np.str_('C11;Q6;J0'), np.str_('pass')]",,,,
